Freq.	(V(n002)-V(n007))/(V(n006))
1.00000000000000e+001	4.32554051916265e-010,1.37686299885248e-002
2.00000000000000e+001	1.73021620780302e-009,2.75372599770496e-002
3.00000000000000e+001	3.89298646677312e-009,4.13058899655741e-002
4.00000000000000e+001	6.92086482734796e-009,5.50745199540984e-002
5.00000000000000e+001	1.08138513002945e-008,6.88431499426224e-002
6.00000000000000e+001	1.55719458700709e-008,8.26117799311460e-002
7.00000000000000e+001	2.11951485458709e-008,9.63804099196691e-002
8.00000000000000e+001	2.76834592919747e-008,1.10149039908192e-001
9.00000000000000e+001	3.50368781866494e-008,1.23917669896714e-001
1.00000000000000e+002	4.32554051893493e-008,1.37686299885235e-001
1.10000000000000e+002	5.23390402749836e-008,1.51454929873755e-001
1.20000000000000e+002	6.22877834793658e-008,1.65223559862274e-001
1.30000000000000e+002	7.31016347784772e-008,1.78992189850793e-001
1.40000000000000e+002	8.47805941849177e-008,1.92760819839310e-001
1.50000000000000e+002	9.73246616875368e-008,2.06529449827827e-001
1.60000000000000e+002	1.10733837305558e-007,2.20298079816342e-001
1.70000000000000e+002	1.25008121010862e-007,2.34066709804855e-001
1.80000000000000e+002	1.40147512776559e-007,2.47835339793368e-001
1.90000000000000e+002	1.56152012746300e-007,2.61603969781879e-001
2.00000000000000e+002	1.73021620806838e-007,2.75372599770388e-001
2.10000000000000e+002	1.90756336929422e-007,2.89141229758896e-001
2.20000000000000e+002	2.09356161122615e-007,3.02909859747402e-001
2.30000000000000e+002	2.28821093487802e-007,3.16678489735906e-001
2.40000000000000e+002	2.49151133919432e-007,3.30447119724408e-001
2.50000000000000e+002	2.70346282463063e-007,3.44215749712908e-001
2.60000000000000e+002	2.92406539048913e-007,3.57984379701407e-001
2.70000000000000e+002	3.15331903880429e-007,3.71753009689903e-001
2.80000000000000e+002	3.39122376729306e-007,3.85521639678397e-001
2.90000000000000e+002	3.63777957701534e-007,3.99290269666889e-001
3.00000000000000e+002	3.89298646782208e-007,4.13058899655378e-001
3.10000000000000e+002	4.15684443913246e-007,4.26827529643865e-001
3.20000000000000e+002	4.42935349182122e-007,4.40596159632349e-001
3.30000000000000e+002	4.71051362544316e-007,4.54364789620831e-001
3.40000000000000e+002	5.00032484006497e-007,4.68133419609310e-001
3.50000000000000e+002	5.29878713609871e-007,4.81902049597786e-001
3.60000000000000e+002	5.60590051352464e-007,4.95670679586260e-001
3.70000000000000e+002	5.92166497189125e-007,5.09439309574730e-001
3.80000000000000e+002	6.24608050987112e-007,5.23207939563198e-001
3.90000000000000e+002	6.57914713003496e-007,5.36976569551662e-001
4.00000000000000e+002	6.92086483130200e-007,5.50745199540123e-001
4.10000000000000e+002	7.27123361349197e-007,5.64513829528581e-001
4.20000000000000e+002	7.63025347632587e-007,5.78282459517036e-001
4.30000000000000e+002	7.99792442020314e-007,5.92051089505487e-001
4.40000000000000e+002	8.37424644586858e-007,6.05819719493935e-001
4.50000000000000e+002	8.75921955163680e-007,6.19588349482379e-001
4.60000000000000e+002	9.15284374016460e-007,6.33356979470819e-001
4.70000000000000e+002	9.55511900779279e-007,6.47125609459256e-001
